Timestamp	Rule	Class	NumRules	NumVars	Acc	AUC	CONF	Cov	FPR	G-Mean	GR	GR_Pct	Jacc	SuppDiff	Supp	TNR	TPR	WRAcc	WRAcc_Norm	ExecTime_ms
74.000000	------	------	2.000000	6.500000	0.500000	0.499937	0.537500	0.001400	0.001499	0.036864	1.358802	0.500000	0.001371	-0.000126	0.000700	0.998501	0.001373	-0.000031	0.499937	296.000000
75.000000	------	------	2.000000	11.000000	0.500350	0.500313	0.545455	0.001650	0.001299	0.041982	1.487937	0.500000	0.001923	0.000626	0.001000	0.998701	0.001926	0.000156	0.500313	296.000000
76.000000	------	------	10.000000	3.400000	0.488820	0.504574	0.561091	0.113800	0.108854	0.235506	1.235616	0.700000	0.095769	0.009149	0.063940	0.891146	0.118003	0.002271	0.504574	280.000000
77.000000	------	------	10.000000	3.500000	0.479970	0.506844	0.599258	0.120850	0.113586	0.268168	1.469694	0.900000	0.105181	0.013688	0.069370	0.886414	0.127274	0.003391	0.506844	282.000000
78.000000	------	------	15.000000	2.800000	0.480867	0.505304	0.581669	0.164207	0.158432	0.292309	1.658991	0.533333	0.132362	0.010608	0.092167	0.841568	0.169040	0.002630	0.505304	274.000000
79.000000	------	------	11.000000	2.363636	0.530027	0.504920	0.540684	0.105909	0.101308	0.230097	6.071122	0.818182	0.084197	0.009841	0.051073	0.898692	0.111149	0.002443	0.504920	281.000000
80.000000	------	------	5.000000	4.400000	0.490800	0.508744	0.499010	0.065880	0.056462	0.211157	1.159243	0.800000	0.067757	0.017488	0.039800	0.943538	0.073950	0.004346	0.508744	313.000000
81.000000	------	------	5.000000	2.600000	0.478840	0.500821	0.541444	0.051100	0.050208	0.190041	1.067827	0.800000	0.047683	0.001641	0.028020	0.949792	0.051849	0.000407	0.500821	307.000000
82.000000	------	------	2.000000	7.500000	0.500950	0.500906	0.644258	0.002750	0.001795	0.059104	2.036226	1.000000	0.003601	0.001812	0.001850	0.998205	0.003607	0.000450	0.500906	328.000000
83.000000	------	------	10.000000	2.500000	0.531930	0.511972	0.527784	0.107110	0.095957	0.251167	1.324860	0.700000	0.095289	0.023945	0.055880	0.904043	0.119902	0.005958	0.511972	304.000000
